link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1),,,MPR,truck,Distr.,Volume,TTCs,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,5,1800,47,138.8,24.47060847,-2.622548615,20.66123741,1240.8,25.78780309,1.808899547,62.30225257,1380.6,151.7582819,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,5,2000,47,144.8,24.44300434,-2.81068884,23.2358531,1240.4,26.52657214,1.826138032,67.36707877,1385.6,158.7694329,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,6,600,47,6,36.07181627,-0.532769517,0,548.4,48.4501603,0.354734675,0,555.2,0.742674433,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,6,800,47,5.6,36.2880536,-0.176999106,0,727.2,47.45060948,0.476228243,0,733.6,1.1327675,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,6,1000,47,13,34.75637635,-1.518916253,0,905.2,45.69614304,0.781710735,0,918.6,1.992328147,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,6,1200,47,26.6,32.25044041,-2.490560296,0,1086.6,42.24670832,1.056756486,0.000758299,1113.6,4.322811477,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,6,1500,47,128.6,25.31253225,-2.867034414,0.93762866,1226,29.21990352,1.545952227,10.20396967,1352.8,43.54477958,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,6,1800,47,105.6,26.2935027,-2.491356531,15.86042246,1275.6,29.21705475,1.927265476,50.2340751,1381.4,136.5071478,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,6,2000,47,98.6,26.90955149,-2.363531787,19.24916226,1278.4,30.12218321,2.098540647,51.71282111,1376.8,140.6334481,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,7,600,47,7,35.89203658,-1.262738847,0,547.4,48.38355232,0.318113235,0,555.2,0.704064101,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,7,800,47,7.8,36.16450629,-1.111942897,0,725,47.28791525,0.429028402,0,733.6,1.083826968,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,7,1000,47,17.4,34.44248826,-1.495404664,0,900.8,45.39072507,0.66110188,0,918.6,1.975710724,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,7,1200,47,31.2,32.67188459,-2.449069986,0,1081.8,42.02614841,0.893009826,0.000392507,1113.4,4.128974503,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,7,1500,47,145.2,25.6526834,-3.262499062,1.175077602,1208,28.60471003,1.388630364,11.48023447,1352.8,45.88649422,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,7,1800,47,130.8,24.93979279,-2.708643289,19.47183402,1248.4,26.72926523,1.824950337,50.67780767,1378.4,139.1637485,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,7,2000,47,116.6,25.51977798,-2.649770534,21.39396862,1259.2,27.99978861,1.948390432,52.56088334,1375.8,143.3764313,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,8,600,47,6.8,36.02108996,-0.07906158,0,547.8,48.71070289,0.274962388,0,555.2,0.833451068,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,8,800,47,7.8,36.43990937,-1.26463493,0,725,47.89341631,0.477650087,0,733.6,1.286630175,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,8,1000,47,11.8,35.69865236,-0.822091866,0,906.2,46.14434423,0.705649841,0,918.6,2.295006705,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,8,1200,47,21,34.1995425,-2.639862273,0,1092.2,43.21427052,1.191203703,0.00105397,1113.4,5.051428016,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,8,1500,47,66.2,29.35212647,-2.980454444,2.411902093,1278.4,34.08018357,2.057380738,9.260393711,1344.6,50.84524302,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,8,1800,47,71.8,27.64094751,-2.684468966,7.439128194,1286,32.91164618,2.111972671,32.96182515,1358,114.1432372,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,8,2000,47,63,28.34828838,-2.271970571,7.912248631,1294,33.77679005,2.196740333,32.75296015,1357.4,113.5455214,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.8,0.2,1,600,47,19,35.36165,-3.124433914,0,535.4,49.68174669,-1.054402795,0,555,0.792306164,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.8,0.2,1,800,47,30.6,35.99353034,-3.017866508,0,702.4,48.58152713,-0.854592955,0,733.2,0.933614751,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.8,0.2,1,1000,47,57,35.04398027,-3.548858424,0,861.2,46.60365574,-0.816469449,0.000753923,918.4,1.374667301,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.8,0.2,1,1200,47,131,29.73436883,-4.750833253,0.060864865,979,40.23783951,-0.864544492,0.222870296,1110,4.414292527,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.8,0.2,1,1500,47,489.8,13.45862627,-0.728495583,25.08716306,772.6,11.35638977,0.222935707,81.08980422,1260,143.2324192,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.8,0.2,1,1800,47,460.4,14.40720221,-0.687610848,52.52956606,803.6,10.85494889,0.42111779,123.7656286,1264.8,209.3606506,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.8,0.2,1,2000,47,479.8,14.01439516,-0.70023485,57.11909969,784.2,10.66574516,0.296359782,131.0116758,1263,217.1101531,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.8,0.2,2,600,47,15.4,35.98101985,-1.760417769,0,539.2,48.3567569,-0.138258625,0,555,0.594765006,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.8,0.2,2,800,47,23.6,36.21900046,-2.449270326,0,709.2,47.32055819,-0.122939719,0.00058906,733.4,0.799233819,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.8,0.2,2,1000,47,46.6,34.45682022,-3.489891265,0,871.6,44.97517586,-0.194925852,0.002530264,919,1.478036176,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.8,0.2,2,1200,47,105.2,30.30050242,-4.789989442,0,1006.8,39.80388268,-0.165007041,0.248361933,1111.8,4.088326991,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.8,0.2,2,1500,47,396,16.28720922,-1.383067644,19.84459559,881,14.11479638,0.541137723,63.55586813,1275.6,132.5306718,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.8,0.2,2,1800,47,355.2,17.34010467,-1.237769711,45.47798928,929.6,14.35413872,0.69022569,97.46532947,1285.2,188.7486636,,,,,,,,,,
