link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
8 : AV-WZ-0.75SRF,0,0.01,0.8,0.2,1,1200,47,257.6,25.06139101002197,-5.078343329627891,0.21208569410021272,851.2,32.131550054920346,-1.0331084104123216,0.6779857747646207,1108.0,9.038660364721268
8 : AV-WZ-0.75SRF,0,0.01,0.8,0.2,1,1500,47,588.0,9.48527949286277,-0.3770825614728306,43.978455625437846,642.2,7.87435990325905,0.08166062992370612,115.01590636771816,1230.2,182.3012130900764
8 : AV-WZ-0.75SRF,0,0.01,0.8,0.2,1,1800,47,597.0,9.203656318351227,-0.3364352131629042,71.88771333162147,631.0,7.561808491012289,0.1254538672933834,157.35063425512584,1227.6,233.1697129975148
8 : AV-WZ-0.75SRF,0,0.01,0.8,0.2,1,2000,47,591.8,9.51982744170415,-0.39943412160154773,73.43203287542777,638.8,7.714030305147071,0.029765532748804113,160.69343988346,1231.2,237.57155126243134
8 : AV-WZ-0.75SRF,0,0.01,0.8,0.2,2,600,47,20.6,35.656031284291466,-2.401266923953181,0.0,534.0,48.19539754047672,-0.21271351403338107,0.0,555.0,0.7083175942101456
8 : AV-WZ-0.75SRF,0,0.01,0.8,0.2,2,800,47,40.2,34.96238503782399,-4.012806351164553,0.0,692.6,46.852198639568385,-0.24872213558337092,0.00032258064516129,733.2,1.0764038374648082
8 : AV-WZ-0.75SRF,0,0.01,0.8,0.2,2,1000,47,76.4,33.113830687657924,-4.54684604402932,0.0,841.8,43.532471014761065,-0.34079971025567224,0.004804884479890631,918.8,2.1768038275624173
8 : AV-WZ-0.75SRF,0,0.01,0.8,0.2,2,1200,47,188.6,27.37827035082235,-4.911638364033441,0.03205992509363293,921.0,35.03939356428299,-0.5854631973163158,0.44723979037320055,1109.0,6.814215772990001
8 : AV-WZ-0.75SRF,0,0.01,0.8,0.2,2,1500,47,571.6,10.564726342734058,-0.5538333320134241,30.843581965298647,671.0,8.785147361552514,0.135296710681371,103.44780886828455,1241.4,170.22829131557475
8 : AV-WZ-0.75SRF,0,0.01,0.8,0.2,2,1800,47,563.8,11.446538552510404,-0.5222614795749652,50.266172351556975,693.4,8.818304475429894,0.14779990094762943,126.03510652856089,1257.2,208.3554296862663
