Summary Group , Total, unclassified,crossing,rear end,lane change
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_231.trj,33,0,0,29,4
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_232.trj,186,0,0,170,16
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_233.trj,214,0,0,188,26
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_234.trj,54,0,0,44,10
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_235.trj,119,0,0,104,15
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_236.trj,2027,0,0,1771,256
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_237.trj,2080,0,0,1850,230
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_238.trj,1946,0,0,1699,247
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_239.trj,1996,0,0,1753,243
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_240.trj,2164,0,0,1905,259
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_241.trj,2140,0,0,1874,266
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_242.trj,2046,0,0,1807,239
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_243.trj,2195,0,0,1937,258
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_244.trj,1986,0,0,1732,254
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_245.trj,2109,0,0,1850,259
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_246.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_256.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_258.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_260.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_262.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_263.trj,3,0,0,3,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_264.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_265.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_266.trj,17,0,0,14,3
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_267.trj,223,0,0,202,21
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_268.trj,233,0,0,215,18
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_269.trj,15,0,0,13,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_270.trj,26,0,0,16,10
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_271.trj,1167,0,0,1024,143
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_272.trj,1138,0,0,989,149
